Strategy,Return (%),CAGR (%),Sharpe,Volatility (%),Max DD (%),Win Rate (%),Trades,Final ($)
HODL,111.53,111.64,1.66,53.38,-26.18,51.91,1,21132.31
Buy Dip 10%,128.28,128.41,1.85,51.52,-26.18,50.82,10,22827.6
Buy Dip 20%,62.71,62.76,1.52,36.17,-20.96,34.15,10,16270.66
Buy Dip 30%,0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
Buy Dip 30% (profit_25),0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
Buy Dip 30% (sma_50),0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
Buy Dip 30% (ema_21),0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
Buy Dip 30% (bb_middle),0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
Buy Dip 30% (ema_cross),0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
Buy Dip 30% (sma_distance),0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
RSI <30,80.67,80.74,1.62,41.73,-21.74,49.73,10,18066.58
MA Cross 50/200,21.73,21.75,0.82,28.94,-20.9,11.75,3,12173.23
Bollinger 20d,55.57,55.62,1.4,36.22,-18.02,36.34,10,15557.11
DCA 30d,52.65,52.69,1.46,32.35,-16.39,51.91,11,15263.76
Vol-Adjusted DCA,42.13,42.16,1.36,28.72,-14.66,48.36,12,14212.55
